TransactionID,CustomerID,Rating,Comments
132,32,2,Inadequate resolution
133,40,5,Outstanding support
134,45,4,Resolved my issue
135,16,5,Excellent service
136,44,2,Slow support
137,73,4,Good resolution
138,5,3,Needs improvement
139,36,5,Quick response
140,69,4,Helpful staff
141,91,4,Good service
142,94,2,Slow response
143,28,5,Excellent support
144,54,3,Fair experience
145,57,4,Quick resolution
146,62,5,Very helpful
147,60,3,Needs improvement
148,39,5,Great assistance
149,60,2,Unsatisfactory
150,47,4,Responsive team
151,45,3,Average service
152,3,1,Poor response time
153,71,5,Exceptional service
154,52,4,Effective communication
155,82,2,Unsatisfactory resolution
156,39,5,Highly recommended
157,38,4,Friendly support
158,32,3,Satisfactory experience
159,9,1,Disappointing service
160,88,5,Very satisfied
161,52,3,Mediocre assistance
162,95,2,Inadequate resolution
163,83,5,Outstanding support
164,42,4,Resolved my issue
165,98,5,Excellent service
166,93,2,Slow support
167,83,4,Good resolution
168,65,3,Needs improvement
169,80,5,Quick response
170,74,4,Helpful staff
171,87,4,Good service
172,38,2,Slow response
173,76,5,Excellent support
174,91,3,Fair experience
175,79,4,Quick resolution
176,76,5,Very helpful
177,80,3,Needs improvement
178,44,5,Great assistance
179,48,2,Unsatisfactory
180,37,4,Responsive team
181,18,3,Average service
182,6,1,Poor response time
183,6,5,Exceptional service
184,22,4,Effective communication
185,18,2,Unsatisfactory resolution
186,48,5,Highly recommended
187,100,4,Friendly support
188,15,3,Satisfactory experience
189,26,1,Disappointing service
190,18,5,Very satisfied
191,50,3,Mediocre assistance
192,53,2,Inadequate resolution
193,87,5,Outstanding support
194,91,4,Resolved my issue
195,1,5,Excellent service
196,62,2,Slow support
197,36,4,Good resolution
198,33,3,Needs improvement
199,28,5,Quick response
200,83,4,Helpful staff
201,40,4,Good service
202,68,2,Slow response
203,59,5,Excellent support
204,64,3,Fair experience
205,20,4,Quick resolution
206,55,5,Very helpful
207,93,3,Needs improvement
208,50,5,Great assistance
209,80,2,Unsatisfactory
210,62,4,Responsive team
211,96,3,Average service
212,98,1,Poor response time
213,6,5,Exceptional service
214,50,4,Effective communication
215,20,2,Unsatisfactory resolution
216,14,5,Highly recommended
217,96,4,Friendly support
218,24,3,Satisfactory experience
219,83,1,Disappointing service
220,6,5,Very satisfied
221,13,3,Mediocre assistance
222,16,2,Inadequate resolution
223,63,5,Outstanding support
224,79,4,Resolved my issue
225,61,5,Excellent service
226,75,2,Slow support
227,29,4,Good resolution
228,96,3,Needs improvement
229,53,5,Quick response
230,25,4,Helpful staff
231,35,4,Good service
232,38,2,Slow response
233,3,5,Excellent support
234,17,3,Fair experience
235,62,4,Quick resolution
236,43,5,Very helpful
237,79,3,Needs improvement
238,64,5,Great assistance
239,87,2,Unsatisfactory
240,93,4,Responsive team
241,82,3,Average service
242,98,1,Poor response time
243,86,5,Exceptional service
244,30,4,Effective communication
245,75,2,Unsatisfactory resolution
246,6,5,Highly recommended
247,33,4,Friendly support
248,47,3,Satisfactory experience
249,9,1,Disappointing service
250,63,5,Very satisfied
251,59,3,Mediocre assistance
252,66,2,Inadequate resolution
253,35,5,Outstanding support
254,48,4,Resolved my issue
255,60,5,Excellent service
256,58,2,Slow support
257,64,4,Good resolution
258,84,3,Needs improvement
259,95,5,Quick response
260,47,4,Helpful staff
261,6,4,Good service
262,43,2,Slow response
263,70,5,Excellent support
264,3,3,Fair experience
265,24,4,Quick resolution
266,91,5,Very helpful
267,62,3,Needs improvement
268,100,5,Great assistance
269,76,2,Unsatisfactory
270,22,4,Responsive team
271,15,3,Average service
272,6,1,Poor response time
273,98,5,Exceptional service
274,20,4,Effective communication
275,62,2,Unsatisfactory resolution
276,99,5,Highly recommended
277,45,4,Friendly support
278,81,3,Satisfactory experience
279,10,1,Disappointing service
280,50,5,Very satisfied
281,46,3,Mediocre assistance
282,5,2,Inadequate resolution
283,95,5,Outstanding support
284,41,4,Resolved my issue
285,65,5,Excellent service
286,31,2,Slow support
287,46,4,Good resolution
288,62,3,Needs improvement
289,93,5,Quick response
290,43,4,Helpful staff
291,18,4,Good service
292,44,2,Slow response
293,65,5,Excellent support
294,53,3,Fair experience
295,20,4,Quick resolution
296,95,5,Very helpful
297,27,3,Needs improvement
298,95,5,Great assistance
299,68,2,Unsatisfactory
300,23,4,Responsive team
301,51,3,Average service
302,1,1,Poor response time
303,59,5,Exceptional service
304,93,4,Effective communication
305,30,2,Unsatisfactory resolution
306,1,5,Highly recommended
307,33,4,Friendly support
308,35,3,Satisfactory experience
309,51,1,Disappointing service
310,2,5,Very satisfied
311,83,3,Mediocre assistance
312,64,2,Inadequate resolution
313,10,5,Outstanding support
314,94,4,Resolved my issue
315,47,5,Excellent service
316,31,2,Slow support
317,28,4,Good resolution
318,75,3,Needs improvement
319,36,5,Quick response
320,34,4,Helpful staff
321,84,4,Good service
322,6,2,Slow response
323,29,5,Excellent support
324,76,3,Fair experience
325,80,4,Quick resolution
326,61,5,Very helpful
327,42,3,Needs improvement
328,95,5,Great assistance
329,37,2,Unsatisfactory
330,15,4,Responsive team
331,52,3,Average service
332,77,1,Poor response time
333,48,5,Exceptional service
334,76,4,Effective communication
335,44,2,Unsatisfactory resolution
336,41,5,Highly recommended
337,2,4,Friendly support
338,87,3,Satisfactory experience
339,5,1,Disappointing service
340,52,5,Very satisfied
341,52,3,Mediocre assistance
342,4,2,Inadequate resolution
343,28,5,Outstanding support
344,54,4,Resolved my issue
345,63,5,Excellent service
346,12,2,Slow support
347,94,4,Good resolution
348,62,3,Needs improvement
349,100,5,Quick response
350,86,4,Helpful staff
